192.168.169.59:2017-03-13T16:15:05Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:04" [deviceTime]="Mar 13 2017 16:15:04" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:03.066ProcessGuid: {0031B1CC-B342-58C6-0000-001078DA0000}ProcessId: 776Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 49154SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 36046DestinationPortName: "
192.168.169.59:2017-03-13T16:15:08Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:07" [deviceTime]="Mar 13 2017 16:15:07" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:06.185ProcessGuid: {0031B1CC-B351-58C6-0000-00103D540100}ProcessId: 1280Image: C:\\Program Files\\AccelOps\\Agent\\AoWinAgt.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: trueSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 53120SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 443DestinationPortName: https"
192.168.169.59:2017-03-13T16:15:09Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:08" [deviceTime]="Mar 13 2017 16:15:08" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.226ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38360DestinationPortName: "
192.168.169.59:2017-03-13T16:15:08Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:08" [deviceTime]="Mar 13 2017 16:15:08" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.095ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38348DestinationPortName: "
192.168.169.59:2017-03-13T16:15:07Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:06" [deviceTime]="Mar 13 2017 16:15:06" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:04.071ProcessGuid: {0031B1CC-B342-58C6-0000-001040F00000}ProcessId: 956Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: udpInitiated: trueSourceIsIpv6: trueSourceIp: c0a8:a93b:0:0:f8e0:1e1f:e0:ffffSourceHostname: SourcePort: 63963SourcePortName: DestinationIsIpv6: trueDestinationIp: e000:fc:90a3:a8a3:c0a3:d8a3:f0a3:8a4DestinationHostname: DestinationPort: 5355DestinationPortName: llmnr"
192.168.169.59:2017-03-13T16:15:07Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:06" [deviceTime]="Mar 13 2017 16:15:06" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:04.070ProcessGuid: {0031B1CC-B32D-58C6-0000-0010EB030000}ProcessId: 4Image: SystemUser: NT AUTHORITY\\SYSTEMProtocol: udpInitiated: trueSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 137SourcePortName: netbios-nsDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 137DestinationPortName: netbios-ns"
192.168.169.59:2017-03-13T16:15:07Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:06" [deviceTime]="Mar 13 2017 16:15:06" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:04.821ProcessGuid: {0031B1CC-B32D-58C6-0000-0010EB030000}ProcessId: 4Image: SystemUser: NT AUTHORITY\\SYSTEMProtocol: udpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.63SourceHostname: SourcePort: 137SourcePortName: netbios-nsDestinationIsIpv6: falseDestinationIp: 192.168.169.50DestinationHostname: WINDOWSAMDestinationPort: 137DestinationPortName: netbios-ns"
192.168.169.59:2017-03-13T16:15:10Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:09" [deviceTime]="Mar 13 2017 16:15:09" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.230ProcessGuid: {0031B1CC-B342-58C6-0000-001078DA0000}ProcessId: 776Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 49154SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 36066DestinationPortName: "
192.168.169.59:2017-03-13T16:15:09Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:08" [deviceTime]="Mar 13 2017 16:15:08" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.110ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38354DestinationPortName: "
192.168.169.59:2017-03-13T16:15:08Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:08" [deviceTime]="Mar 13 2017 16:15:08" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.093ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38346DestinationPortName: "
192.168.169.59:2017-03-13T16:15:08Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:07" [deviceTime]="Mar 13 2017 16:15:07" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:06.009ProcessGuid: {0031B1CC-B351-58C6-0000-00103D540100}ProcessId: 1280Image: C:\\Program Files\\AccelOps\\Agent\\AoWinAgt.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: trueSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 53119SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 443DestinationPortName: https"
192.168.169.59:2017-03-13T16:15:13Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:13" [deviceTime]="Mar 13 2017 16:15:13" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:11.289ProcessGuid: {0031B1CC-B351-58C6-0000-00103D540100}ProcessId: 1280Image: C:\\Program Files\\AccelOps\\Agent\\AoWinAgt.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: trueSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 53122SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 443DestinationPortName: https"
