SNMPv2-MIB::sysDescr.0 = STRING: 
IF-MIB::ifInOctets.4 = Counter32: 0
IF-MIB::ifInOctets.5 = Counter32: 0
IF-MIB::ifInOctets.6 = Counter32: 0
IF-MIB::ifInUcastPkts.1 = Counter32: 705046
IF-MIB::ifInUcastPkts.2 = Counter32: 0
IF-MIB::ifInUcastPkts.3 = Counter32: 1438
IF-MIB::ifInUcastPkts.4 = Counter32: 0
IF-MIB::ifInUcastPkts.5 = Counter32: 0
IF-MIB::ifInUcastPkts.6 = Counter32: 0
IF-MIB::ifInNUcastPkts.1 = Counter32: 0
IF-MIB::ifInNUcastPkts.2 = Counter32: 0
IF-MIB::ifInNUcastPkts.3 = Counter32: 0
IF-MIB::ifInNUcastPkts.4 = Counter32: 0
IF-MIB::ifInNUcastPkts.5 = Counter32: 0
IF-MIB::ifInNUcastPkts.6 = Counter32: 0
IF-MIB::ifInDiscards.1 = Counter32: 31128
IF-MIB::ifInDiscards.2 = Counter32: 0
IF-MIB::ifInDiscards.3 = Counter32: 0
IF-MIB::ifInDiscards.4 = Counter32: 0
IF-MIB::ifInDiscards.5 = Counter32: 0
IF-MIB::ifInDiscards.6 = Counter32: 0
IF-MIB::ifInErrors.1 = Counter32: 0
IF-MIB::ifInErrors.2 = Counter32: 0
IF-MIB::ifInErrors.3 = Counter32: 0
IF-MIB::ifInErrors.4 = Counter32: 0
IF-MIB::ifInErrors.5 = Counter32: 0
IF-MIB::ifInErrors.6 = Counter32: 0
IF-MIB::ifInUnknownProtos.1 = Counter32: 0
IF-MIB::ifInUnknownProtos.2 = Counter32: 0
IF-MIB::ifInUnknownProtos.3 = Counter32: 0
IF-MIB::ifInUnknownProtos.4 = Counter32: 0
IF-MIB::ifInUnknownProtos.5 = Counter32: 0
IF-MIB::ifInUnknownProtos.6 = Counter32: 0
IF-MIB::ifOutOctets.1 = Counter32: 126715425
IF-MIB::ifOutOctets.2 = Counter32: 0
IF-MIB::ifOutOctets.3 = Counter32: 146700
IF-MIB::ifOutOctets.4 = Counter32: 0
IF-MIB::ifOutOctets.5 = Counter32: 0
IF-MIB::ifOutOctets.6 = Counter32: 0
IF-MIB::ifOutUcastPkts.1 = Counter32: 422615
IF-MIB::ifOutUcastPkts.2 = Counter32: 0
IF-MIB::ifOutUcastPkts.3 = Counter32: 2153
IF-MIB::ifOutUcastPkts.4 = Counter32: 0
IF-MIB::ifOutUcastPkts.5 = Counter32: 0
IF-MIB::ifOutUcastPkts.6 = Counter32: 0
IF-MIB::ifOutNUcastPkts.1 = Counter32: 0
IF-MIB::ifOutNUcastPkts.2 = Counter32: 0
IF-MIB::ifOutNUcastPkts.3 = Counter32: 0
IF-MIB::ifOutNUcastPkts.4 = Counter32: 0
IF-MIB::ifOutNUcastPkts.5 = Counter32: 0
IF-MIB::ifOutNUcastPkts.6 = Counter32: 0
IF-MIB::ifOutDiscards.1 = Counter32: 0
IF-MIB::ifOutDiscards.2 = Counter32: 0
IF-MIB::ifOutDiscards.3 = Counter32: 0
IF-MIB::ifOutDiscards.4 = Counter32: 0
IF-MIB::ifOutDiscards.5 = Counter32: 0
IF-MIB::ifOutDiscards.6 = Counter32: 0
IF-MIB::ifOutErrors.1 = Counter32: 0
IF-MIB::ifOutErrors.2 = Counter32: 0
IF-MIB::ifOutErrors.3 = Counter32: 0
IF-MIB::ifOutErrors.4 = Counter32: 0
IF-MIB::ifOutErrors.5 = Counter32: 0
IF-MIB::ifOutErrors.6 = Counter32: 0
IF-MIB::ifOutQLen.1 = Gauge32: 0
IF-MIB::ifOutQLen.2 = Gauge32: 0
IF-MIB::ifOutQLen.3 = Gauge32: 0
IF-MIB::ifOutQLen.4 = Gauge32: 0
IF-MIB::ifOutQLen.5 = Gauge32: 0
IF-MIB::ifOutQLen.6 = Gauge32: 0
IF-MIB::ifSpecific.1 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifSpecific.2 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifSpecific.3 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifSpecific.4 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifSpecific.5 = OID: SNMPv2-SMI::zeroDotZero.0
IF-MIB::ifSpecific.6 = OID: SNMPv2-SMI::zeroDotZero.0
IP-MIB::ipForwarding.0 = INTEGER: forwarding(1)
IP-MIB::ipDefaultTTL.0 = INTEGER: 64
IP-MIB::ipInReceives.0 = Counter32: 572493
IP-MIB::ipInHdrErrors.0 = Counter32: 0
IP-MIB::ipInAddrErrors.0 = Counter32: 0
IP-MIB::ipForwDatagrams.0 = Counter32: 0
IP-MIB::ipInUnknownProtos.0 = Counter32: 0
IP-MIB::ipInDiscards.0 = Counter32: 0
IP-MIB::ipInDelivers.0 = Counter32: 572499
IP-MIB::ipOutRequests.0 = Counter32: 401380
IP-MIB::ipOutDiscards.0 = Counter32: 16
IP-MIB::ipOutNoRoutes.0 = Counter32: 0
IP-MIB::ipReasmTimeout.0 = INTEGER: 0 seconds
IP-MIB::ipReasmReqds.0 = Counter32: 0
IP-MIB::ipReasmOKs.0 = Counter32: 0
IP-MIB::ipReasmFails.0 = Counter32: 0
IP-MIB::ipFragOKs.0 = Counter32: 0
IP-MIB::ipFragFails.0 = Counter32: 0
IP-MIB::ipFragCreates.0 = Counter32: 0
IP-MIB::icmpInMsgs.0 = Counter32: 4539
IP-MIB::icmpInErrors.0 = Counter32: 2
IP-MIB::icmpInDestUnreachs.0 = Counter32: 0
IP-MIB::icmpInTimeExcds.0 = Counter32: 204
IP-MIB::icmpInParmProbs.0 = Counter32: 0
IP-MIB::icmpInSrcQuenchs.0 = Counter32: 0
IP-MIB::icmpInRedirects.0 = Counter32: 0
IP-MIB::icmpInEchos.0 = Counter32: 0
IP-MIB::icmpInEchoReps.0 = Counter32: 4335
IP-MIB::icmpInTimestamps.0 = Counter32: 0
IP-MIB::icmpInTimestampReps.0 = Counter32: 0
IP-MIB::icmpInAddrMasks.0 = Counter32: 0
IP-MIB::icmpInAddrMaskReps.0 = Counter32: 0
IP-MIB::icmpOutMsgs.0 = Counter32: 0
IP-MIB::icmpOutErrors.0 = Counter32: 4472
IP-MIB::icmpOutDestUnreachs.0 = Counter32: 0
IP-MIB::icmpOutTimeExcds.0 = Counter32: 137
IP-MIB::icmpOutParmProbs.0 = Counter32: 0
IP-MIB::icmpOutSrcQuenchs.0 = Counter32: 0
IP-MIB::icmpOutRedirects.0 = Counter32: 0
IP-MIB::icmpOutEchos.0 = Counter32: 0
IP-MIB::icmpOutEchoReps.0 = Counter32: 0
IP-MIB::icmpOutTimestamps.0 = Counter32: 4335
IP-MIB::icmpOutTimestampReps.0 = Counter32: 0
IP-MIB::icmpOutAddrMasks.0 = Counter32: 0
IP-MIB::icmpOutAddrMaskReps.0 = Counter32: 0
TCP-MIB::tcpRtoAlgorithm.0 = INTEGER: other(1)
TCP-MIB::tcpRtoMin.0 = INTEGER: 200 milliseconds
TCP-MIB::tcpRtoMax.0 = INTEGER: 120000 milliseconds
TCP-MIB::tcpMaxConn.0 = INTEGER: -1
TCP-MIB::tcpActiveOpens.0 = Counter32: 2008
TCP-MIB::tcpPassiveOpens.0 = Counter32: 7595
TCP-MIB::tcpAttemptFails.0 = Counter32: 0
TCP-MIB::tcpEstabResets.0 = Counter32: 130
TCP-MIB::tcpCurrEstab.0 = Gauge32: 2
TCP-MIB::tcpInSegs.0 = Counter32: 506256
TCP-MIB::tcpOutSegs.0 = Counter32: 358921
TCP-MIB::tcpRetransSegs.0 = Counter32: 1670
TCP-MIB::tcpInErrs.0 = Counter32: 8
TCP-MIB::tcpOutRsts.0 = Counter32: 383
UDP-MIB::udpInDatagrams.0 = Counter32: 61308
UDP-MIB::udpNoPorts.0 = Counter32: 70
UDP-MIB::udpInErrors.0 = Counter32: 0
UDP-MIB::udpOutDatagrams.0 = Counter32: 62939
EtherLike-MIB::dot3StatsIndex.1 = INTEGER: 1
EtherLike-MIB::dot3StatsIndex.2 = INTEGER: 2
EtherLike-MIB::dot3StatsIndex.3 = INTEGER: 3
EtherLike-MIB::dot3StatsIndex.4 = INTEGER: 4
EtherLike-MIB::dot3StatsIndex.5 = INTEGER: 5
EtherLike-MIB::dot3StatsIndex.6 = INTEGER: 6
EtherLike-MIB::dot3StatsAlignmentErrors.1 = Counter32: 0
EtherLike-MIB::dot3StatsAlignmentErrors.2 = Counter32: 0
EtherLike-MIB::dot3StatsAlignmentErrors.3 = Counter32: 0
EtherLike-MIB::dot3StatsAlignmentErrors.4 = Counter32: 0
EtherLike-MIB::dot3StatsAlignmentErrors.5 = Counter32: 0
EtherLike-MIB::dot3StatsAlignmentErrors.6 = Counter32: 0
EtherLike-MIB::dot3StatsFCSErrors.1 = Counter32: 0
EtherLike-MIB::dot3StatsFCSErrors.2 = Counter32: 0
EtherLike-MIB::dot3StatsFCSErrors.3 = Counter32: 0
EtherLike-MIB::dot3StatsFCSErrors.4 = Counter32: 0
EtherLike-MIB::dot3StatsFCSErrors.5 = Counter32: 0
EtherLike-MIB::dot3StatsFCSErrors.6 = Counter32: 0
EtherLike-MIB::dot3StatsSingleCollisionFrames.1 = Counter32: 0
EtherLike-MIB::dot3StatsSingleCollisionFrames.2 = Counter32: 0
EtherLike-MIB::dot3StatsSingleCollisionFrames.3 = Counter32: 0
EtherLike-MIB::dot3StatsSingleCollisionFrames.4 = Counter32: 0
EtherLike-MIB::dot3StatsSingleCollisionFrames.5 = Counter32: 0
EtherLike-MIB::dot3StatsSingleCollisionFrames.6 = Counter32: 0
EtherLike-MIB::dot3StatsMultipleCollisionFrames.1 = Counter32: 0
EtherLike-MIB::dot3StatsMultipleCollisionFrames.2 = Counter32: 0
EtherLike-MIB::dot3StatsMultipleCollisionFrames.3 = Counter32: 0
EtherLike-MIB::dot3StatsMultipleCollisionFrames.4 = Counter32: 0
EtherLike-MIB::dot3StatsMultipleCollisionFrames.5 = Counter32: 0
EtherLike-MIB::dot3StatsMultipleCollisionFrames.6 = Counter32: 0
EtherLike-MIB::dot3StatsSQETestErrors.1 = Counter32: 0
EtherLike-MIB::dot3StatsSQETestErrors.2 = Counter32: 0
EtherLike-MIB::dot3StatsSQETestErrors.3 = Counter32: 0
EtherLike-MIB::dot3StatsSQETestErrors.4 = Counter32: 0
EtherLike-MIB::dot3StatsSQETestErrors.5 = Counter32: 0
EtherLike-MIB::dot3StatsSQETestErrors.6 = Counter32: 0
EtherLike-MIB::dot3StatsDeferredTransmissions.1 = Counter32: 0
EtherLike-MIB::dot3StatsDeferredTransmissions.2 = Counter32: 0
EtherLike-MIB::dot3StatsDeferredTransmissions.3 = Counter32: 0
EtherLike-MIB::dot3StatsDeferredTransmissions.4 = Counter32: 0
EtherLike-MIB::dot3StatsDeferredTransmissions.5 = Counter32: 0
EtherLike-MIB::dot3StatsDeferredTransmissions.6 = Counter32: 0
EtherLike-MIB::dot3StatsLateCollisions.1 = Counter32: 0
EtherLike-MIB::dot3StatsLateCollisions.2 = Counter32: 0
EtherLike-MIB::dot3StatsLateCollisions.3 = Counter32: 0
EtherLike-MIB::dot3StatsLateCollisions.4 = Counter32: 0
EtherLike-MIB::dot3StatsLateCollisions.5 = Counter32: 0
EtherLike-MIB::dot3StatsLateCollisions.6 = Counter32: 0
EtherLike-MIB::dot3StatsExcessiveCollisions.1 = Counter32: 0
EtherLike-MIB::dot3StatsExcessiveCollisions.2 = Counter32: 0
EtherLike-MIB::dot3StatsExcessiveCollisions.3 = Counter32: 0
EtherLike-MIB::dot3StatsExcessiveCollisions.4 = Counter32: 0
EtherLike-MIB::dot3StatsExcessiveCollisions.5 = Counter32: 0
EtherLike-MIB::dot3StatsExcessiveCollisions.6 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacTransmitErrors.1 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacTransmitErrors.2 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacTransmitErrors.3 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacTransmitErrors.4 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacTransmitErrors.5 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacTransmitErrors.6 = Counter32: 0
EtherLike-MIB::dot3StatsCarrierSenseErrors.1 = Counter32: 0
EtherLike-MIB::dot3StatsCarrierSenseErrors.2 = Counter32: 0
EtherLike-MIB::dot3StatsCarrierSenseErrors.3 = Counter32: 0
EtherLike-MIB::dot3StatsCarrierSenseErrors.4 = Counter32: 0
EtherLike-MIB::dot3StatsCarrierSenseErrors.5 = Counter32: 0
EtherLike-MIB::dot3StatsCarrierSenseErrors.6 = Counter32: 0
EtherLike-MIB::dot3StatsEntry.12.1 = NULL
EtherLike-MIB::dot3StatsEntry.12.2 = NULL
EtherLike-MIB::dot3StatsEntry.12.3 = NULL
EtherLike-MIB::dot3StatsEntry.12.4 = NULL
EtherLike-MIB::dot3StatsEntry.12.5 = NULL
EtherLike-MIB::dot3StatsEntry.12.6 = NULL
EtherLike-MIB::dot3StatsFrameTooLongs.1 = Counter32: 0
EtherLike-MIB::dot3StatsFrameTooLongs.2 = Counter32: 0
EtherLike-MIB::dot3StatsFrameTooLongs.3 = Counter32: 0
EtherLike-MIB::dot3StatsFrameTooLongs.4 = Counter32: 0
EtherLike-MIB::dot3StatsFrameTooLongs.5 = Counter32: 0
EtherLike-MIB::dot3StatsFrameTooLongs.6 = Counter32: 0
EtherLike-MIB::dot3StatsEntry.14.1 = NULL
EtherLike-MIB::dot3StatsEntry.14.2 = NULL
EtherLike-MIB::dot3StatsEntry.14.3 = NULL
EtherLike-MIB::dot3StatsEntry.14.4 = NULL
EtherLike-MIB::dot3StatsEntry.14.5 = NULL
EtherLike-MIB::dot3StatsEntry.14.6 = NULL
EtherLike-MIB::dot3StatsEntry.15.1 = NULL
EtherLike-MIB::dot3StatsEntry.15.2 = NULL
EtherLike-MIB::dot3StatsEntry.15.3 = NULL
EtherLike-MIB::dot3StatsEntry.15.4 = NULL
EtherLike-MIB::dot3StatsEntry.15.5 = NULL
EtherLike-MIB::dot3StatsEntry.15.6 = NULL
EtherLike-MIB::dot3StatsInternalMacReceiveErrors.1 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacReceiveErrors.2 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacReceiveErrors.3 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacReceiveErrors.4 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacReceiveErrors.5 = Counter32: 0
EtherLike-MIB::dot3StatsInternalMacReceiveErrors.6 = Counter32: 0
EtherLike-MIB::dot3StatsEtherChipSet.1 = OID: SNMPv2-SMI::zeroDotZero.0
EtherLike-MIB::dot3StatsEtherChipSet.2 = OID: SNMPv2-SMI::zeroDotZero.0
EtherLike-MIB::dot3StatsEtherChipSet.3 = OID: SNMPv2-SMI::zeroDotZero.0
EtherLike-MIB::dot3StatsEtherChipSet.4 = OID: SNMPv2-SMI::zeroDotZero.0
EtherLike-MIB::dot3StatsEtherChipSet.5 = OID: SNMPv2-SMI::zeroDotZero.0
EtherLike-MIB::dot3StatsEtherChipSet.6 = OID: SNMPv2-SMI::zeroDotZero.0
EtherLike-MIB::dot3StatsSymbolErrors.1 = Counter32: 0
EtherLike-MIB::dot3StatsSymbolErrors.2 = Counter32: 0
EtherLike-MIB::dot3StatsSymbolErrors.3 = Counter32: 0
EtherLike-MIB::dot3StatsSymbolErrors.4 = Counter32: 0
EtherLike-MIB::dot3StatsSymbolErrors.5 = Counter32: 0
EtherLike-MIB::dot3StatsSymbolErrors.6 = Counter32: 0
EtherLike-MIB::dot3StatsDuplexStatus.1 = INTEGER: 0
EtherLike-MIB::dot3StatsDuplexStatus.2 = INTEGER: 0
EtherLike-MIB::dot3StatsDuplexStatus.3 = INTEGER: 0
EtherLike-MIB::dot3StatsDuplexStatus.4 = INTEGER: 0
EtherLike-MIB::dot3StatsDuplexStatus.5 = INTEGER: 0
EtherLike-MIB::dot3StatsDuplexStatus.6 = INTEGER: 0
EtherLike-MIB::dot3CollFrequencies.1.1 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.2 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.3 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.4 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.5 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.6 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.7 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.8 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.9 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.10 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.11 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.12 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.13 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.14 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.15 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.1.16 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.1 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.2 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.3 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.4 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.5 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.6 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.7 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.8 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.9 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.10 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.11 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.12 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.13 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.14 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.15 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.2.16 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.1 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.2 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.3 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.4 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.5 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.6 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.7 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.8 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.9 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.10 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.11 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.12 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.13 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.14 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.15 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.3.16 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.1 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.2 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.3 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.4 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.5 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.6 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.7 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.8 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.9 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.10 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.11 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.12 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.13 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.14 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.15 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.4.16 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.1 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.2 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.3 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.4 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.5 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.6 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.7 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.8 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.9 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.10 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.11 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.12 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.13 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.14 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.15 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.5.16 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.1 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.2 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.3 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.4 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.5 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.6 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.7 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.8 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.9 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.10 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.11 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.12 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.13 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.14 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.15 = Counter32: 0
EtherLike-MIB::dot3CollFrequencies.6.16 = Counter32: 0
EtherLike-MIB::dot3ControlFunctionsSupported.1 = BITS: 00 
EtherLike-MIB::dot3ControlFunctionsSupported.2 = BITS: 00 
EtherLike-MIB::dot3ControlFunctionsSupported.3 = BITS: 00 
EtherLike-MIB::dot3ControlFunctionsSupported.4 = BITS: 00 
EtherLike-MIB::dot3ControlFunctionsSupported.5 = BITS: 00 
EtherLike-MIB::dot3ControlFunctionsSupported.6 = BITS: 00 
EtherLike-MIB::dot3ControlInUnknownOpcodes.1 = Counter32: 0
EtherLike-MIB::dot3ControlInUnknownOpcodes.2 = Counter32: 0
EtherLike-MIB::dot3ControlInUnknownOpcodes.3 = Counter32: 0
EtherLike-MIB::dot3ControlInUnknownOpcodes.4 = Counter32: 0
EtherLike-MIB::dot3ControlInUnknownOpcodes.5 = Counter32: 0
EtherLike-MIB::dot3ControlInUnknownOpcodes.6 = Counter32: 0
EtherLike-MIB::dot3HCControlInUnknownOpcodes.1 = Counter64: 0
